题记序号,题记名称,时间,公元纪年,地点,窟位,造像者人数,性别,所造佛像名称,出资者,造像者身份表述,阶层,社邑组织,实践行为（一级编码）,实践行为（二级编码）,祈愿内容（一级编码）,祈愿内容（二级编码）,造像原因（一级编码）,造像原因（二级编码）,关联历史事件,经文,妆造类型,宗教类型,宗派倾向(主宗派倾向；副宗派倾向）,备注
1,尖山子石刻弥勒说法图记,唐永徽年间（650-655 年）,650-655,重庆市大足区铁山镇建角村尖山子石刻 7 号龛,尖山子第 7 号龛,「不详」,[不详],弥勒说法图,「不详」,无,信息空白(个体),非社邑,信息不详、,信息不详,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,弥勒体系,
2,北山佛湾何君友造观音记,唐乾宁二年（895 年）,895,重庆市大足区龙岗街道北山路北山石刻北山佛湾 26 号龛,北山佛湾第 26 号龛,1,男,救苦观音菩萨,何君友,弟子,虔诚弟子,非社邑,造像制作、纪念庆赞、,发心造像、庆讫记功,超度往生,往生净土 (为亡男),超度荐亡,亡亲超荐,家庭变故(亡男),[不详],新造,佛教,观音体系,
3,北山佛湾王宗靖造观音地藏像记,唐乾宁三年（896 年）,896,重庆市大足区龙岗街道北山路北山石刻北山佛湾第 58 号龛,北山佛湾第 58 号龛,1,男,救苦观音菩萨、地藏菩萨,王宗靖,检校司空守昌州刺史,封爵贵族,非社邑,造像制作、纪念庆赞、,发心造像、设斋表赞,超度往生,往生净土 (早生西方),超度荐亡,亡亲超荐,家庭变故(故何七娘),[不详],新造,佛教,观音体系；地藏体系,
4,北山佛湾赵师恪造像记,唐乾宁三年（896 年）,896,重庆市大足区龙岗街道北山路北山石刻北山佛湾第 58 号龛,北山佛湾第 58 号龛,1,男,救苦观音菩萨、地藏菩萨,赵师恪,节度左押衙检校左散骑常侍兼御史大夫上柱国,封爵贵族,非社邑,庄严修饰、,妆銮彩绘,超度往生,往生净土 (为故外姑),超度荐亡,亡亲超荐 (为故外姑),事件未提,[不详],重妆,佛教,观音体系；地藏体系,
5,北山佛湾惠志造像记,唐乾宁三年（896 年）,896,重庆市大足区龙岗街道北山路北山石刻北山佛湾第 240 号龛,北山佛湾第 240 号龛,3,1 女、2 男,欢喜王菩萨,惠志、敬修、法进,比丘尼、小师,僧团僧伽,非社邑,造像制作、纪念庆赞、,发心造像、设斋表赞,信息不详,信息不详,报恩酬德,报佛恩 (奉报十方施主),事件未提,[不详],新造,佛教,密教,
6,北山佛湾明悟造像记,唐乾宁四年（897 年）,897,重庆市大足区龙岗街道北山路北山石刻北山佛湾第 50 号龛,北山佛湾第 50 号龛,3,3 男,如意轮菩萨,明悟、道广、道添,都典座僧、主僧、小师,僧团僧伽,非社邑,造像制作、造像制作、纪念庆赞、,发心造像、镌刻雕造、设斋表赞,信息不详,信息不详,报恩酬德,报佛恩 (奉为十方施主),事件未提,[不详],新造,佛教,密教；观音体系,
7,北山佛湾王宗靖造像记,唐乾宁四年（897 年）,897,重庆市大足区龙岗街道北山路北山石刻北山佛湾第 52 号龛,北山佛湾第 52 号龛,1,女,阿弥陀佛、地藏菩萨、救苦观音菩萨,黎氏,女弟子,虔诚弟子,非社邑,造像制作、纪念庆赞、,发心造像、设斋表赞,超度往生,往生净土 (为亡夫),超度荐亡,亡亲超荐,家庭变故(亡夫刘口),[不详],新造,佛教,"净土,观音体系；地藏体系",另有版本
8,北山佛湾何君友造日月光菩萨记,唐乾宁年间（894-897 年）,894-897,重庆市大足区龙岗街道北山路北山石刻北山佛湾第 24 号龛,北山佛湾第 24 号龛,1,男,日月光菩萨,何君友,弟子,虔诚弟子(家庭合署),非社邑,造像制作、造像制作、纪念庆赞、,发心造像、镌刻雕造、设斋表赞,现世福报,福寿康宁 (自身安泰、夫妇咸昌),祈福禳灾,家族昌盛,事件未提,[不详],新造,佛教,药师体系,
9,北山佛湾三世佛记,唐光化二年（899 年）,899,重庆市大足区龙岗街道北山路北山石刻北山佛湾第 51 号龛,北山佛湾第 51 号龛,1,男,三世佛（并部众）,「不详」,节度左押衙充四州都指挥、昌州军事银青□□上柱国,封爵贵族,非社邑,纪念庆赞、,庆讫记功,现世福报,财富丰足 (资财增益、昌盛),祈福禳灾,家族昌盛,事件未提,[不详],新造,佛教,无法判定,另有版本
10,北山佛湾蹇知进造像记,唐天复元年（901 年）,901,重庆市大足区龙岗街道北山路北山石刻北山佛湾第 243 号龛,北山佛湾第 243 号龛,1,男,大悲千手观音菩萨,蹇知进,军事押衙,在职官员,非社邑,造像制作、造像制作、,发心造像、镌刻雕造,现世福报,家庭和睦 (骨肉团圆、安泰),祈福禳灾,消灾免难,地方暴力(寨中之际夫妇惊忧),[不详],新造,佛教,"密教,观音体系",六斋日
