=== 唐代观音造像分析报告 ===


=== period,cnt ===
period, cnt
"中唐", 13
"初唐", 3
"晚唐", 15
"武周", 2
"盛唐", 6


=== region,cnt ===
region, cnt
"广元", 10
"大足", 8
"安岳", 7
"绵阳", 4
"其他", 3
"资中", 2
"巴中", 2
"内江", 2
"成都", 1


=== class,cnt ===
class, cnt
"官员", 17
"信众", 16
"未知", 4
"僧侣", 2


=== id,name,period,region,class,deity,patron ===
i.id, i.name, p.name, r.name, c.name, i.deity, i.patron
"13", "北山佛湾第 19 号龛造像记", "中唐", "大足", "信众", "救苦观音菩萨、菩萨", "「不详」"
"15", "北山佛湾第 54 号龛造像记", "中唐", "大足", "信众", "观音", "「不详」"
"267", "南龛石窟赵造像记", "中唐", "巴中", "信众", "观音菩萨、地藏菩萨、弟子像", "赵□□"
"273", "南龛石窟087 龛严武造像记", "中唐", "巴中", "官员", "救苦观音菩萨像", "严武"
"368", "千佛崖释广行造像记", "中唐", "广元", "僧侣", "地藏菩萨、观世音菩萨", "释广行"
"381", "观音岩周先造像记", "中唐", "广元", "官员", "观音立像、二供养菩萨、二供养人", "周先"
"384", "观音岩造观世音像记", "中唐", "广元", "信众", "救苦观世音菩萨", "[不详]"
"591", "清溪张造像记", "中唐", "内江", "官员", "救苦观音菩萨", "张□□、杨氏"
"593", "高升乡千佛崖造观音像记", "中唐", "安岳", "未知", "观音菩萨像", "[不详]"
"668", "木鱼山造观世音像记", "中唐", "安岳", "信众", "观音菩萨", "[不详]"
"692", "马鞍山僧伽和尚造像记", "中唐", "内江", "僧侣", "不详", "僧伽和尚"
"740", "高升乡千佛崖侯行造像记", "中唐", "安岳", "官员", "观世音菩萨", "侯行□"
"745", "高升乡千佛崖22号龛造观音像记", "中唐", "安岳", "官员", "大悲观音", "[不详]"
"418", "横梁子王佛愿造像记", "初唐", "广元", "信众", "释迦佛", "王佛愿"
"546", "通江千佛崖造观音像记", "初唐", "其他", "未知", "观音菩萨", "[不详]"
"659", "千佛寨黎远钦造像记", "初唐", "安岳", "官员", "三观音像、三供养人像", "黎远钦、亡妻□氏、亡母虔氏"
"2", "北山佛湾何君友造观音记", "晚唐", "大足", "信众", "救苦观音菩萨", "何君友"
"3", "北山佛湾王宗靖造观音地藏像记", "晚唐", "大足", "官员", "救苦观音菩萨、地藏菩萨", "王宗靖"
"32", "北山佛湾陈氏造像记", "晚唐", "大足", "信众", "观音、地藏", "陈氏"
"36", "营盘坡第 13 号龛造像记", "晚唐", "大足", "未知", "观音", "「不详」"
"4", "北山佛湾赵师恪造像记", "晚唐", "大足", "官员", "救苦观音菩萨、地藏菩萨", "赵师恪"
"485", "青义镇千佛崖袁□□造像记", "晚唐", "绵阳", "信众", "救苦觀世音菩薩", "袁□□"
"486", "青义镇千佛崖王法庆造像记", "晚唐", "绵阳", "信众", "觀世音菩薩", "王法庆、袁□□"
"509", "看灯山周元造像记", "晚唐", "成都", "官员", "二尊观音像", "周元、马五娘"
"599", "新开寺黎讯造像记", "晚唐", "其他", "官员", "大悲观音菩萨", "黎讯、阿雍斋娘、世二娘等"
"610", "重龙山赵造像记", "晚唐", "资中", "官员", "大悲龛", "赵□"
"612", "青义镇千佛崖王法盛造像记", "晚唐", "绵阳", "信众", "观音菩萨", "王法盛"
"613", "魏城曹翰造像记", "晚唐", "绵阳", "信众", "救苦观世音菩萨", "曹翰"
"626", "资中西岩造观音地藏像记", "晚唐", "资中", "信众", "救苦观音、地藏菩萨", "[不详]"
"680", "石锣沟李祐造像记", "晚唐", "安岳", "官员", "救苦观世音菩萨", "李□祐、杨氏"
"826", "北山佛湾造像记", "晚唐", "大足", "官员", "大悲观世音菩萨并天龙部众", "[不详]"
"552", "千佛崖王行淹造释迦牟尼像记", "武周", "广元", "官员", "释迦牟尼佛一铺、救苦观音一躯", "王行淹"
"553", "千佛崖王行淹造观音像记", "武周", "广元", "官员", "救苦观音", "王行淹"
"359", "千佛崖王小兰造像记", "盛唐", "广元", "信众", "观音菩萨", "王小兰"
"360", "千佛崖郭氏造像记", "盛唐", "广元", "信众", "观音菩萨", "郭氏"
"375", "千佛崖何晏造观世音像记", "盛唐", "广元", "信众", "观世音菩萨", "何晏、何晏之妻"
"463", "士?造像记", "盛唐", "其他", "未知", "观音菩萨", "士?"
"561", "千佛寨黎令宾造像记", "盛唐", "安岳", "官员", "东面三世诸佛、西面救苦观世音菩萨", "黎令宾、虔格、虔远"
"567", "千佛崖行利州参军造像记", "盛唐", "广元", "官员", "救苦观世音菩萨", "行利州参军"


=== identity,cnt ===
